labels,preprocessed_docs
0,gram usual run like half eighth smarter though get almost whole second gram
0,k fyi x ride earli tomorrow morn crash place tonight
0,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
0,know mallika sherawat yesterday find url
1,congrat year special cinema pass call c suprman v matrix starwar etc free bxipw pm dont miss
0,sorri call later meet
0,tell reach
0,yesgauti sehwag odi seri
0,gonna pick burger way home cannot even move pain kill
0,ha ha ha good joke girl situat seeker
0,part check iq
0,sorri roommat took forev ok come
0,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
1,valu custom pleas advis follow recent review mob award bonu prize call
0,today song dedic day song u dedic send ur valuabl frnd first rpli
1,urgent ur award complimentari trip eurodisinc trav acoentri claim txt di amorefrmmob shracomorsglsuplt ls aj
1,hear new divorc barbi come ken stuff
0,plane give month end
0,wah lucki man save money hee
0,finish class
0,hi babe im home wanna someth xx
0,kkwhere youhow perform
0,u call
0,wait machan call free
0,that cool gentleman treat digniti respect
0,like peopl much shi pa
0,oper
0,still look job much ta earn
0,sorri call later
0,k call ah
0,ok way home hi hi
0,place man
0,yup next stop
0,call later network urgnt sm
0,real u get yo need ticket one jacket done alreadi use multi
0,ye start send request make pain came back back bed doubl coin factori gotta cash nitro
0,realli still tonight babe
0,ela kanoil download come wen ur free
0,yeah donut stand close tho youull catch someth
0,sorri pain ok meet anoth night spent late afternoon casualti mean done stuffmoro includ time sheet sorri
0,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
1,pleas call custom servic repres ampm guarante cash prize
0,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi
1,free rington wait collect simpli text password mix verifi get usher britney fml
0,watch telugu moviewat abt u
0,see finish load loan pay
0,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
0,pleas text anymor noth els say
0,okay name ur price long legal wen pick u ave x am xx
0,still look car buy gone drive test yet
0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
0,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
0,umma life vava umma love lot dear
0,thank lot wish birthday thank make birthday truli memor
0,aight hit get cash
0,would ip address test consid comput minecraft server
0,know grumpi old peopl mom like better lie alway one play joke
0,dont worri guess busi
0,plural noun research
0,go dinnermsg
0,ok wif co like tri new thing scare u dun like mah co u said loud
1,gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm
0,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weighthaha anythin special happen
0,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went
1,winner u special select receiv holiday flight inc speak live oper claim pmin
0,goodo ye must speak friday eggpotato ratio tortilla need
0,hmmmi uncl inform pay school directli pl buy food
1,privat account statement show unredeem bonu point claim call identifi code expir
1,urgent mobil award bonu caller prize final tri contact u call landlin boxwrc ppm
0,new address applespairsal malarki
1,today voda number end select receiv award match pleas call quot claim code standard rate app
0,go sao mu today done
0,ii predict wat time ill finish buy
0,good stuff
0,knowyetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis
0,room
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,kkhow much cost
0,home
0,dear call tmorrowpl accomod
0,first answer question
1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sptyron
1,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt eca pmsgp
0,haf msn yijuehotmailcom
0,call meet
0,check room befor activ
1,rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri
0,got c lazi type forgot lect saw pouch like v nice
0,k text way
0,sir wait mail
0,swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud ni
0,know pl open back
0,ye see ya dot
0,what staff name take class us
1,freemsg repli text randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
0,ummmawil call check inour life begin qatar pl pray hard
0,ki delet contact
0,sindu got job birla soft
0,wine flow never
0,yup thk cine better co need go plaza mah
0,ok ur typic repli
0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
0,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one
0,aaooooright work
0,leav hous
0,hello love get interview today happi good boy think mear miss
1,custom servic annonc new year deliveri wait pleas call arrang deliveri
1,winner u special select receiv cash holiday flight inc speak live oper claim
0,keep safe need miss alreadi envi everyon see real life
0,new car hous parentsi new job hand
0,love excit day spend make happi
1,pl stop bootydeli f invit friend repli ye see wwwsmsacubootydeli stop send stop frnd
1,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internetservic menu
0,place ur point e cultur modul alreadi
1,urgent tri contact last weekend draw show prize guarante call claim code valid hr
0,hi frnd best way avoid missunderstd wit belov one
0,great escap fanci bridg need lager see tomo
0,ye complet formclark also utter wast
0,sir need axi bank account bank address
0,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
0,time come later
0,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
0,well gonna finish bath goodfin night
0,let know got money carlo make call
0,u still go mall
0,turn friend stay whole show back til feel free go ahead smoke worth
0,text doesnt repli let know log
0,hi spoke maneesha v would like know satisfi experi repli toll free ye
0,lift hope offer money need especi end month approach hurt studi anyway gr weekend
0,lol u trust
0,ok gentleman treat digniti respect
0,guy close
0,go noth greatby
0,hello handsom find job lazi work toward get back net mummi boytoy miss
0,haha awesom minut
1,pleas call custom servic repres freephon ampm guarante cash prize
0,got xma radio time get
0,ju reach home go bath first si use net tell u finish k
1,uniqu enough find th august wwwareyouuniquecouk
0,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week
0,hi final complet cours
0,stop howev suggest stay someon abl give or everi stool
0,hope settl new school year wishin gr day
0,gud mrng dear hav nice day
0,u got person stori
0,hamster dead hey tmr meet pm orchard mrt
0,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
0,found enc
0,sent buck
0,hello darlin ive finish colleg txt u finish u love kate xxx
0,account refil success inr decim keralacircl prepaid account balanc rs decim transact id kr
0,goodmorn sleep ga
0,u call alter ok
0,ii say like dat dun buy ericsson oso cannot oredi lar
0,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went
0,aight yo dat straight dogg
0,pleas give us connect today decim refund bill
0,shoot big load get readi
0,bruv hope great break reward semest
0,home alway chat
0,kkgoodstudi well
0,yup noe leh
0,sound great home
0,final match head toward draw predict
0,tire slept well past night
0,easi ahsen got select mean good
0,take exam march
0,yeah think use gt atm regist sure anyway help let know sure readi
0,ok prob take ur time
0,os call ubandu run without instal hard diskyou use os copi import file system give repair shop
0,sorri call later
0,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
1,new mobil must go txt nokia collect todayfrom wwwtcbiz optout gbpmtmsg
0,would realli appreci call need someon talk
1,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari
0,hey compani elama po mudyadhu
0,life strict teacher bcoz teacher teach lesson conduct exam life first conduct exam teach lesson happi morn
0,dear good morn
0,get gandhipuram walk cross cut road right side street road turn first right
0,dear go rubber place
0,sorri batteri die yeah
0,yesher tv alway avail work place
1,text meet someon sexi today u find date even flirt u join p repli name age eg sam msg recdthirtyeight penc
0,print oh come upstair
0,ill littl closer like bu stop street
0,youwhen wil reach
0,new theori argument win situat lose person dont argu ur friend kick say alway correct
1,u secret admir look make contact ufind rreveal think ur specialcal
0,tomarrow final hear laptop case cant
0,pleassssssseeeee tel v avent done sportsx
0,okay shine meant sign sound better
0,although told u dat baig face watch realli like e watch u gave co fr u thanx everyth dat uve done today touch
0,u rememb old commerci
0,late said websit dont slipper
0,ask call ok
0,kalli wont bat nd inning
0,didnt work oh ok goodnight ill fix readi time wake dearli miss good night sleep
1,congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc wwwldewcomwinppmxag
0,ranjith cal drpd deeraj deepak min hold
0,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da
0,doinghow
0,up day also ship compani take wk way usp take week get lag may bribe nipost get stuff
0,back lemm know readi
0,necessarili expect done get back though headin
0,mmm yummi babe nice jolt suzi
0,lover need
1,tri contact repli offer video handset anytim network min unlimit text camcord repli call
0,ium park next mini come today think
0,yup
0,anyway go shop co si done yet dun disturb u liao
0,luton ring ur around h
1,hey realli horni want chat see nake text hot text charg pm unsubscrib text stop
0,dint come us
0,wana plan trip sometm
0,sure yet still tri get hold
1,ur rington servic chang free credit go clubmobilescom choos content stop txt club stop pwk club po box mk wt
0,evo download flash jealou
1,rington club get uk singl chart mobil week choos top qualiti rington messag free charg
0,come mu sort narcot situat
0,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay
1,hmv bonu special pound genuin hmv voucher answer easi question play send hmv infowwwpercentrealcom
0,usf guess might well take car
0,object bf come
0,thanx
0,tell rob mack gf theater
0,awesom see bit
0,sent type food like
0,done hand celebr full swing yet
0,got call tool
0,wen u miss someon
0,ok ask money far
0,oki
0,yeah think usual guy still pass last night get ahold anybodi let know throw
0,k might come tonight class let earli
0,ok
0,hi babi im cruisin girl friend r u give call hour home that alright fone fone love jenni xxx
0,life mean lot love life love peopl life world call friend call world ge
0,dearshal mail tonitebusi streetshal updat toniteth look okvarunnathu edukkukaye raksha ollubut good one real sens
0,hey told name gautham ah
0,haf u found feel stupid da v cam work
0,oop got bit
0,much buzi
0,accident delet messag resend pleas
1,tmobil custom may claim free camera phone upgrad pay go sim card loyalti call offer end thfebtc appli
0,unless situat go gurl would appropri
0,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,cant pick phone right pl send messag
0,need coffe run tomocannot believ time week alreadi
0,awesom rememb last time got somebodi high first time diesel v
0,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi
0,oh way food fridg want go meal tonight
0,womdarful actor
1,sm ac blind date u rodd aberdeen unit kingdom check httpimg sm acwicmbcktzr blind date send hide
0,yup remb think book
0,jo ask u wana meet
0,lol ye friendship hang thread caus u buy stuff
1,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap
0,garag key bookshelf
0,today accept dayu accept brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi
1,think ur smart win week weekli quiz text play nowtc winnersclub po box uz gbpweek
0,say give call friend got money definit buy end week
0,hi way u day normal waythi real ur uniquei hope know u rest mylif hope u find wot lost
0,made day great day
0,kkadvanc happi pongal
0,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
0,realli dude friend afraid
1,decemb mobil mth entitl updat latest colour camera mobil free call mobil updat co free
0,coffe cake guess
0,merri christma babe love ya kiss
0,hey dont go watch x men lunch haha
0,cud u tell ppl im gona b bit l co buse hav gon past co full im still waitin pete x
0,would great guild could meet bristol road somewher get touch weekend plan take flight good week
0,problem
0,callsmessagesmiss call
0,hi dahow today class
0,would say good sign well know track record read women
0,cool text park
0,read text sent meant joke read light
0,kkapo kgood movi
0,mayb could get book tomo return immedi someth
1,call germani penc per minut call fix line via access number prepay direct access
0,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor
1,valentin day special win quiz take partner trip lifetim send go pmsg rcvd custcar
0,tadaaaaa home babe still
0,cool come havent wine dine
0,sleepingand surf
0,sorri call later
0,u call right call hand phone
0,ok great thanx lot
0,take post come must text happi read one wiv hello carolin end favourit bless
0,u hide stranger
0,interest like
0,sister clear two round birla soft yesterday
0,gudnitetcpractic go
0,di yiju ju saw ur mail case huim havent sent u num di num
0,one small prestig problem
1,fanci shag dointerest sextextukcom txt xxuk suzi txt cost per msg tnc websit x
0,check realli miss see jeremiah great month
0,nah cannot help never iphon
0,car hour half go apeshit
0,today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good
0,yo guy ever figur much need alcohol jay tri figur much safe spend weed
0,ish minut minut ago wtf
0,thank callingforgot say happi onam sirjii fine rememb met insur personmeet qatar insha allahrakhesh ex tata aig join tisscotays
1,congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc wwwldewcomwinppmxag
1,ur cashbal current pound maxim ur cashin send cash pmsg cc hgsuiteland rowwjhl
0,actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday
0,hello got st andrewsboy long way cold keep post
0,ha ha cool cool chikku chikkudb
0,oh ok prob
0,check audrey statu right
0,busi tri finish new year look forward final meet
0,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway
0,well know z take care worri
1,updatenow xma offer latest motorola sonyericsson nokia free bluetooth doubl min txt orang call mobileupd calloptoutfq
1,discount code rp stop messag repli stop wwwregalportfoliocouk custom servic
0,wat uniform get
0,cool text readi
0,hello boytoy geeee miss alreadi woke wish bed cuddl love
0,spoil bed well
0,go bath msg next min
0,cant keep talk peopl sure pay agre price pl tell want realli buy much will pay
1,thank rington order refer charg gbp per week unsubscrib anytim call custom servic
0,say happen
0,could seen mei didt recognis face
0,well lot thing happen lindsay new year sigh bar ptbo blue heron someth go
0,keep payasam rinu bring
0,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak
0,guess worri must know way bodi repair quit sure worri take slow first test guid ovul relax noth said reason worri ill keep followin
0,yeah sure give coupl minut track wallet
0,hey leav big deal take care
0,hey late ah meet
1,doubl min txt month free bluetooth orang avail soni nokia motorola phone call mobileupd calloptoutndx
0,took mr owl lick
0,custom place call
0,mm time dont like fun
1,mth half price orang line rental latest camera phone free phone mth call mobilesdirect free updat orstoptxt
0,yup lunch buffet u eat alreadi
0,huh late fr dinner
0,hey sat go intro pilat kickbox
0,morn ok
0,ye think offic lap room think that last day didnt shut
0,pick bout ish time go
0,perform award calcul everi two monthnot current one month period
0,actual sleep still might u call back text gr rock si send u text wen wake
0,alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat
0,good even sir al salam wahleykkumshar happi newsbi grace god got offer tayseertissco joinedhop fineinshah allahmeet sometimerakheshvisitor india
0,hmmmkbut want chang field quickli dai wanna get system administr network administr
1,free rington text first poli text get true tone help st free tone xapw eand txt stop
0,dear chechi talk
0,hair cream ship
0,none happen til get though
0,yep great loxahatche xma tree burn start hour
0,haha get use drive usf man know lot stoner
0,well slightli disastr class pm fav darl hope day ok coffe wld good cannot stay late tomorrow time place alway
0,hello good week fanci drink someth later
0,headin toward busetop
0,messagesom text miss sendernam miss number miss sentdat miss miss u lot that everyth miss sent via fullonsmscom
0,come room point iron plan weekend
0,co want thing
0,oki go yan jiu skip ard oso go cine den go mrt one blah blah blah
0,bring home wendi
1,date servic call boxskch
0,whatsup dont u want sleep
0,alright new goal
1,free entri weekli competit text word win tc wwwtxttowincouk
0,alright head minut text meet
1,send logo ur lover name join heart txt love name name mobno eg love adam eve yahoo poboxwwq txtno ad p
0,yesfrom last week take live call
1,someon contact date servic enter phone fanci find call landlin poboxntfp
0,siva hostel aha
1,urgent mobil number award prize guarante call land line claim valid hr
0,send ur friend receiv someth ur voic speak express childish naughti sentiment rowdi ful attitud romant shi attract funni irrit lovabl repli
0,ok ok guess
0,aathiwher dear
0,pain urin thing els
0,esplanad mind give lift co got car today
0,wnt buy bmw car urgentlyit vri urgentbut hv shortag lacsther sourc arng di amt lacsthat prob
0,home watch tv lor
0,usual take fifteen fuck minut respond ye question
1,congrat nokia video camera phone call call cost ppm ave call min vari mobil close post bcm ldn wcnxx
0,book ticket pongal
0,avail like right around hillsborough th
0,messag sent askin dollar shoul pay
0,ask g iouri told stori like ten time alreadi
0,long applebe fuck take
0,hi hope u get txtjourney hasnt gdnow min late think
0,like love arrang
0,yesh realli greatbhaji told kalli best cricket sachin worldveri tough get
0,suppos wake
0,oic saw tot din c found group liao
0,sorri call later
0,hey hey wereth monkeespeopl say monkeyaround howdi gorgeou
0,sorri batteri die come get gram place
0,well done blimey exercis yeah kinda rememb wot hmm
0,wont get concentr dear know mind everyth
0,lol made plan new year
0,min later k
0,hank lotsli
0,thank hope good day today
0,kkwhat detail want transferacc enough
0,ok tell stay yeah tough optimist thing improv month
1,loan purpos homeown tenant welcom previous refus still help call free text back help
0,si si think ill go make oreo truffl
0,look ami ure beauti intellig woman like u lot know u donaot like like donaot worri
0,hope result consist intellig kind start ask practicum link keep ear open best ttyl
0,call cost guess isnt bad miss ya need ya want ya love ya
0,go thru differ feelingwav decis cope individualtim heal everyth believ
0,u go phone gonna die stay
0,great never better day give even reason thank god
1,upgrdcentr orang custom may claim free camera phone upgrad loyalti call offer end th juli tc appli optout avail
0,sorri call later ok bye
0,ok way railway
0,great princess love give receiv oral doggi style fave posit enjoy make love time per night
0,put stuff road keep get slipperi
0,go ride bike
0,yup need ju wait e rain stop
0,mani compani tell languag
1,okmail dear dave final notic collect tenerif holiday cash award call landlin tc sae box cwwx ppm
0,long sinc scream princess
0,noth meant money enter account bank remov flat rate someon transfer account dollar got remov bank differ charg also differb sure trust ja person send account detail co
1,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network txting moan nyt eca pmsgp
0,nice line said broken heart plz cum time infront wise trust u good
0,ok gonna head usf like fifteen minut
0,love aathilov u lot
0,tension ahwhat machiani problem
0,k pick anoth th done
0,whenr guy get back g said think stay mcr
0,almost see u sec
0,yo carlo friend alreadi ask work weekend
0,watch tv lor
0,thank babi cant wait tast real thing
0,chang fb jaykwon thuglyf falconerf
0,win realli side long time
1,free messag activ free text messag repli messag word free term condit visit wwwcom
0,dear reach railway happen
0,depend qualiti want type sent boy fade glori want ralph mayb
0,think fix send test messag
0,sorri man account dri would want could trade back half could buy shit credit card
1,congrat year special cinema pass call c suprman v matrix starwar etc free bxipw pm dont miss
0,sorryin meet call later
0,class reunion
0,free nowcan call
0,got meh
0,nope think go monday sorri repli late
0,told accentur confirm true
0,kate jackson rec center ish right
0,dear reach room
0,fight world easi u either win lose bt fightng close u dificult u lose u lose u win u still lose
0,come
0,check nuerologist
0,lolnic went fish water
1,congratul week competit draw u prize claim call b tcsstop sm ppm
0,wait e car dat bore wat co wait outsid got noth home stuff watch tv wat
0,mayb westshor hyde park villag place near hous
0,know anthoni bring money school fee pay rent stuff like that need help friend need
0,signific
0,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli
0,latest gs still scroung ammo want give new ak tri
0,prabhai sorydarealyfrm heart sori
0,lol ok forgiven
0,nojst chang tat
1,guarante latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnwh pmtmsgrcvd
0,sno competit
1,boltblu tone p repli poli mono eg poli cha cha slide yeah slow jamz toxic come stop tone txt
1,credit top renew pin tgxxrz
0,way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri
0,usual person unconsci children adult may behav abnorm ill call
0,ebay might less elsewher
0,shall come get pickl
0,gonna go get taco
0,rude campu
1,urgent mobil award bonu caller prize nd attempt contact call boxqu
0,hi b ard christma enjoy n merri xma
1,today offer claim ur worth discount voucher text ye savamob member offer mobil cs sub unsub repli x
0,ye pretti ladi like singl
1,reciev tone within next hr term condit pleas see channel u teletext pg
0,jay say doublefaggot
1,privat account statement show unredeem sim point call identifi code expir
0,todaysundaysunday holidayso work
0,gudnitetcpractic go
0,late
0,call hope lr malaria know miss guy miss bani big pl give love especi great day
0,good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea
0,probabl gonna see later tonight
0,mayb fat finger press button know
0,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear
0,tirupur da start offic call
1,wwwapplausestorecom monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop
0,famou quot develop abil listen anyth uncondit without lose temper self confid mean marri
0,go colleg pa els ill come self pa
0,oclock mine bash flat plan
0,girl stay bed girl need recoveri time id rather pass fun coop bed
0,special
0,know need get hotel got invit apologis cali sweet come english bloke weddin
0,sorri took long omw
0,wait min
0,ok give minut think see btw alibi cut hair whole time
0,imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck
0,hurri weeddefici like three day
0,sure get acknowledg astoundingli tactless gener faggi demand blood oath fo
0,ok everi night take warm bath drink cup milk see work magic still need loos weight know
0,iull look fri pan case itu cheap book perhap thatu silli fri pan isnut like book
0,well uv caus mutat sunscreen like essenti theseday
0,lunchyou onlinewhi
0,know friend alreadi told
0,hi princess thank pic pretti
0,aiyo u alway c ex one dunno abt mei repli first time u repli fast lucki workin huh got bao ur sugardad ahge
0,hi msg mei offic
0,thanx e browni v nice
0,geeeee love much bare stand
1,gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm
0,fuck babe miss alreadi know cannot let send money toward net need want crave
0,ill call u mrw ninish address icki american freek wont stop callin bad jen k eh
0,oooh bed ridden ey think
0,anyway go gym whatev love smile hope ok good day babe miss much alreadi
0,love daddi make scream pleasur go slap ass dick
0,wot u wanna missi
0,yar lor wait mum finish sch lunch lor whole morn stay home clean room room quit clean hee
0,know lab goggl went
0,open door
0,wait call
0,nope wait sch daddi
1,cash prize claim call
0,tire argu week week want
0,ii wait sch finish ard
1,mobil number claim call us back ring claim hot line
0,arngd marriag u r walkin unfortuntli snake bite u bt love marriag danc frnt snake sayin bite bite
0,huh earli dinner outsid izzit
0,ok anyway need chang said
1,tri contact repli offer min textand new video phone call repli free deliveri tomorrow
0,exwif abl kid want kid one day
0,scotland hope show jjc tendenc take care live dream
0,tell u headach want use hour sick time
0,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
0,pete pleas ring meiv hardli gotani credit
0,ya srsli better yi tho
0,meet call later
1,ur chanc win wkli shop spree txt shop tsc wwwtxtshopcom custcar xpwk
1,special select receiv pound award call line close cost ppm tc appli ag promo
1,privat account statement show unredeem point call identifi code expir
0,still grand prix
0,met stranger choos friend long world stand friendship never end let friend forev gud nitz
0,great
0,gud mrng dear nice day
1,import custom servic announc call freephon
0,exhaust train morn much wine pie sleep well
0,go buy mum present ar
0,mind blastin tsunami occur rajnik stop swim indian oceand
0,u send home first ok lor readi yet
0,speak cash yet
0,happi come noon
0,meet lunch la
0,take care n get well soon
1,xclusiveclubsaisai morow soire special zouk nichol parisfre rose ladi info
0,meant say cant wait see u get bore bridgwat banter
0,neva mind ok
0,fine imma get drink somethin want come find
1,day kick euro u kept date latest news result daili remov send get txt stop
0,valentin game send di msg ur friend answer r someon realli love u que colour suit bestrpli
0,mani depend
0,thanx today cer nice catch ave find time often oh well take care c u soonc
0,call said himthen choos futur
0,happi valentin day know earli hundr handsom beauti wish thought finish aunti uncl st
0,like v shock leh co tell shuhui like tell leona also like dat almost know liao got ask abt ur reaction lor
0,famili happi
0,come n pick come immedi aft ur lesson
0,let snow let snow kind weather bring ppl togeth friendship grow
0,dear got dollar hi hi
0,good word word may leav u dismay mani time
0,make sure alex know birthday fifteen minut far concern
0,sorri got thing may pub later
0,nah straight bring bud drink someth actual littl use straight cash
0,haha good hear offici paid market th
0,mani lick take get center tootsi pop
0,yup thk r e teacher said make face look longer darren ask cut short
1,new textbuddi chat horni guy ur area p free receiv search postcod gaytextbuddycom txt one name
1,today vodafon number end select receiv award number match call receiv award
0,pleas dont say like hi hi hi
0,thank u
0,oh forward messag thought send
0,got seventeen pound seven hundr ml uo hope ok
1,dear voucher holder claim week offer pc go tsc appli stop text txt stop
0,n funni
0,sweetheart hope kind day one load reason smile biola
0,login dat time dad fetch home
0,shower babi
0,askd u question hour answer
0,well imma definit need restock thanksgiv let know
0,said kiss kiss cannot sound effect gorgeou man kind person need smile brighten day
0,probabl gonna swing wee bit
0,ya nice readi thursday
0,allo brave buse taken train triumph mean weur buham jolli good rest week
0,watch cartoon listen music eve go templ church u
0,mind ask happen dont say uncomfort
1,privat account statement show unredeem point call identifi code expir
0,prob send email
1,cash prize claim call tc rstm sw ss ppm
0,that cool sometim slow gentl sonetim rough hard
0,gonna say sorri would normal start panic time sorri see tuesday
0,wait know wesley town bet hella drug
0,fine miss much
0,u got person stori
0,tell drug dealer get impati
0,sun cant come earth send luv ray cloud cant come river send luv rain cant come meet u send care msg u gud evng
0,place man
0,doesnt make sens take unless free need know wikipediacom
1,premium phone servic call
0,sea lay rock rock envelop envelop paper paper word
0,mum repent
0,sorri go home first daddi come fetch later
0,leav de start prepar next
0,ye babi studi posit kama sutra
0,en chikku nang bakra msg kalstiyathen teacoffe
0,carlosl minut still need buy
0,pay decim lakh
0,good even ttyl
0,u receiv msg
0,ho ho big belli laugh see ya tomo
1,sm ac sun post helloy seem cool
1,get ur st rington free repli msg tone gr top tone phone everi week per wk opt send stop
0,ditto worri say anyth anymor like said last night whatev want peac
0,got way could pick
0,dont knw pa drink milk
0,mayb say hi find got card great escap wetherspoon
0,piggi r u awak bet ure still sleep go lunch
0,caus freaki lol
0,miss call caus yell scrappi miss u cannot wait u come home lone today
0,hex place talk explain
0,ii log wat sdrybi
0,xy go e lunch
1,hi sue year old work lapdanc love sex text live bedroom text sue textoper g da ppmsg
0,want ask wait finish lect co lect finish hour anyway
0,finish work yet
0,everi king cri babi everi great build map imprtant u r today u wil reach tomorw gud ni
0,dearm cherthalain case u r come cochin pl call bfore u starti shall also reach accordinglyor tell day u r comingtmorow engag an holiday
0,thank love torch bold
1,pleas call immedi urgent messag wait
0,farm open
0,sorri troubl u buy dad big small sat n sun thanx
0,sister law hope great month say hey abiola
0,purchas stuff today mail po box number
0,ah poop look like ill prob send laptop get fix cuz gpu problem
0,good good job like entrepreneur
0,aight close still around alex place
0,meet corpor st outsid gap u see mind work
0,mum ask buy food home
